task_id,box_id,delivery_offset_s,deadline_s
R000098,B073,1083.5,3600.0
R000098,B074,1083.5,inf
R000099,B072,1023.5,3600.0
R000100,B072,1083.5,3600.0
R000100,B074,1083.5,inf
R000101,B072,1083.5,3600.0
R000101,B073,1083.5,3600.0
R000102,B077,1212.0,inf
R000103,B076,1212.0,3600.0
R000104,B076,1272.0,3600.0
R000104,B077,1272.0,inf
R000105,B075,1212.0,3600.0
R000106,B075,1272.0,3600.0
R000106,B077,1272.0,inf
R000107,B075,1272.0,3600.0
R000107,B076,1272.0,3600.0
R000108,B080,1198.5,inf
R000109,B079,1198.5,10800.0
R000110,B079,1258.5,10800.0
R000110,B080,1258.5,inf
R000111,B078,1198.5,7200.0
R000112,B078,1258.5,7200.0
R000112,B080,1258.5,inf
R000113,B078,1258.5,7200.0
R000113,B079,1258.5,10800.0
R000114,B014,798.3,inf
R000115,B014,858.3,inf
R000115,B015,858.3,inf
R000116,B011,798.3,inf
R000117,B011,858.3,inf
R000117,B014,858.3,inf
R000118,B011,858.3,inf
R000118,B012,858.3,inf
R000119,B003,798.3,3600.0
R000120,B003,858.3,3600.0
R000120,B014,858.3,inf
R000121,B003,858.3,3600.0
R000121,B011,858.3,inf
R000122,B003,858.3,3600.0
R000122,B004,858.3,inf
R000123,B001,798.3,3600.0
R000124,B001,858.3,3600.0
R000124,B014,858.3,inf
R000125,B001,858.3,3600.0
R000125,B011,858.3,inf
R000126,B001,918.3,3600.0
R000126,B011,918.3,inf
R000126,B012,918.3,inf
R000127,B001,858.3,3600.0
R000127,B003,858.3,3600.0
R000128,B001,918.3,3600.0
R000128,B003,918.3,3600.0
R000128,B011,918.3,inf
R000129,B001,858.3,3600.0
R000129,B002,858.3,inf
R000130,B001,918.3,3600.0
R000130,B002,918.3,inf
R000130,B014,918.3,inf
R000131,B001,918.3,3600.0
R000131,B002,918.3,inf
R000131,B011,918.3,inf
R000132,B001,918.3,3600.0
R000132,B002,918.3,inf
R000132,B003,918.3,3600.0
R000133,B023,1101.9,inf
R000134,B021,1101.9,inf
R000135,B021,1161.9,inf
R000135,B023,1161.9,inf
R000136,B021,1161.9,inf
R000136,B022,1161.9,inf
R000137,B017,1101.9,3600.0
R000138,B017,1161.9,3600.0
R000138,B023,1161.9,inf
R000139,B017,1161.9,3600.0
R000139,B021,1161.9,inf
R000140,B017,1161.9,3600.0
R000140,B018,1161.9,inf
R000141,B016,1101.9,3600.0
R000142,B016,1161.9,3600.0
R000142,B023,1161.9,inf
R000143,B016,1161.9,3600.0
R000143,B021,1161.9,inf
R000144,B016,1221.9,3600.0
R000144,B021,1221.9,inf
R000144,B022,1221.9,inf
R000145,B016,1161.9,3600.0
R000145,B017,1161.9,3600.0
R000146,B016,1221.9,3600.0
R000146,B017,1221.9,3600.0
R000146,B021,1221.9,inf
R000147,B031,1228.1,inf
R000148,B029,1228.1,inf
R000149,B029,1288.1,inf
R000149,B031,1288.1,inf
R000150,B029,1288.1,inf
R000150,B030,1288.1,inf
R000151,B025,1228.1,7200.0
R000152,B025,1288.1,7200.0
R000152,B031,1288.1,inf
R000153,B025,1288.1,7200.0
R000153,B029,1288.1,inf
R000154,B025,1288.1,7200.0
R000154,B026,1288.1,inf
R000155,B024,1228.1,7200.0
R000156,B024,1288.1,7200.0
R000156,B031,1288.1,inf
R000157,B024,1288.1,7200.0
R000157,B029,1288.1,inf
R000158,B024,1348.1,7200.0
R000158,B029,1348.1,inf
R000158,B030,1348.1,inf
R000159,B024,1288.1,7200.0
R000159,B025,1288.1,7200.0
R000160,B024,1348.1,7200.0
R000160,B025,1348.1,7200.0
R000160,B029,1348.1,inf
R000161,B037,1184.5,inf
R000162,B036,1184.5,inf
R000163,B036,1244.5,inf
R000163,B037,1244.5,inf
R000164,B033,1184.5,7200.0
R000165,B033,1244.5,7200.0
R000165,B037,1244.5,inf
R000166,B033,1244.5,7200.0
R000166,B036,1244.5,inf
R000167,B033,1244.5,7200.0
R000167,B034,1244.5,inf
R000168,B032,1184.5,7200.0
R000169,B032,1244.5,7200.0
R000169,B037,1244.5,inf
R000170,B032,1244.5,7200.0
R000170,B036,1244.5,inf
R000171,B032,1244.5,7200.0
R000171,B033,1244.5,7200.0
R000172,B032,1304.5,7200.0
R000172,B033,1304.5,7200.0
R000172,B036,1304.5,inf
R000173,B043,982.3,inf
R000174,B042,982.3,inf
R000175,B042,1042.3,inf
R000175,B043,1042.3,inf
R000176,B039,982.3,10800.0
R000177,B039,1042.3,10800.0
R000177,B043,1042.3,inf
R000178,B039,1042.3,10800.0
R000178,B042,1042.3,inf
R000179,B039,1042.3,10800.0
R000179,B040,1042.3,inf
R000180,B038,982.3,10800.0
R000181,B038,1042.3,10800.0
R000181,B043,1042.3,inf
R000182,B038,1042.3,10800.0
R000182,B042,1042.3,inf
R000183,B038,1042.3,10800.0
R000183,B039,1042.3,10800.0
R000184,B038,1102.3,10800.0
R000184,B039,1102.3,10800.0
R000184,B042,1102.3,inf
R000185,B049,822.1,inf
R000186,B048,822.1,inf
R000187,B048,882.1,inf
R000187,B049,882.1,inf
R000188,B045,822.1,3600.0
R000189,B045,882.1,3600.0
R000189,B049,882.1,inf
R000190,B045,882.1,3600.0
R000190,B048,882.1,inf
R000191,B045,882.1,3600.0
R000191,B046,882.1,inf
R000192,B044,822.1,3600.0
R000193,B044,882.1,3600.0
R000193,B049,882.1,inf
R000194,B044,882.1,3600.0
R000194,B048,882.1,inf
R000195,B044,882.1,3600.0
R000195,B045,882.1,3600.0
R000196,B044,942.1,3600.0
R000196,B045,942.1,3600.0
R000196,B048,942.1,inf
R000197,B054,1005.7,inf
R000198,B053,1005.7,inf
R000199,B053,1065.7,inf
R000199,B054,1065.7,inf
R000200,B051,1005.7,3600.0
R000201,B051,1065.7,3600.0
R000201,B054,1065.7,inf
R000202,B051,1065.7,3600.0
R000202,B053,1065.7,inf
R000203,B051,1065.7,3600.0
R000203,B052,1065.7,inf
R000204,B050,1005.7,3600.0
R000205,B050,1065.7,3600.0
R000205,B054,1065.7,inf
R000206,B050,1065.7,3600.0
R000206,B053,1065.7,inf
R000207,B050,1065.7,3600.0
R000207,B051,1065.7,3600.0
R000208,B050,1125.7,3600.0
R000208,B051,1125.7,3600.0
R000208,B053,1125.7,inf
R000209,B059,1173.2,inf
R000210,B058,1173.2,inf
R000211,B058,1233.2,inf
R000211,B059,1233.2,inf
R000212,B056,1173.2,7200.0
R000213,B056,1233.2,7200.0
R000213,B059,1233.2,inf
R000214,B056,1233.2,7200.0
R000214,B058,1233.2,inf
R000215,B056,1233.2,7200.0
R000215,B057,1233.2,inf
R000216,B055,1173.2,7200.0
R000217,B055,1233.2,7200.0
R000217,B059,1233.2,inf
R000218,B055,1233.2,7200.0
R000218,B058,1233.2,inf
R000219,B055,1233.2,7200.0
R000219,B056,1233.2,7200.0
R000220,B055,1293.2,7200.0
R000220,B056,1293.2,7200.0
R000220,B058,1293.2,inf
R000221,B062,972.0,inf
R000222,B061,972.0,10800.0
R000223,B061,1032.0,10800.0
R000223,B062,1032.0,inf
R000224,B060,972.0,10800.0
R000225,B060,1032.0,10800.0
R000225,B062,1032.0,inf
R000226,B060,1032.0,10800.0
R000226,B061,1032.0,10800.0
R000227,B060,1092.0,10800.0
R000227,B061,1092.0,10800.0
R000227,B062,1092.0,inf
R000228,B065,964.8,inf
R000229,B064,964.8,3600.0
R000230,B064,1024.8,3600.0
R000230,B065,1024.8,inf
R000231,B063,964.8,3600.0
R000232,B063,1024.8,3600.0
R000232,B065,1024.8,inf
R000233,B063,1024.8,3600.0
R000233,B064,1024.8,3600.0
R000234,B063,1084.8,3600.0
R000234,B064,1084.8,3600.0
R000234,B065,1084.8,inf
R000235,B068,787.0,inf
R000236,B067,787.0,10800.0
R000237,B067,847.0,10800.0
R000237,B068,847.0,inf
R000238,B066,787.0,10800.0
R000239,B066,847.0,10800.0
R000239,B068,847.0,inf
R000240,B066,847.0,10800.0
R000240,B067,847.0,10800.0
R000241,B066,907.0,10800.0
R000241,B067,907.0,10800.0
R000241,B068,907.0,inf
R000242,B071,1151.8,inf
R000243,B070,1151.8,3600.0
R000244,B070,1211.8,3600.0
R000244,B071,1211.8,inf
R000245,B069,1151.8,3600.0
R000246,B069,1211.8,3600.0
R000246,B071,1211.8,inf
R000247,B069,1211.8,3600.0
R000247,B070,1211.8,3600.0
R000248,B069,1271.8,3600.0
R000248,B070,1271.8,3600.0
R000248,B071,1271.8,inf
R000249,B074,942.7,inf
R000250,B073,942.7,3600.0
R000251,B073,1002.7,3600.0
R000251,B074,1002.7,inf
R000252,B072,942.7,3600.0
R000253,B072,1002.7,3600.0
R000253,B074,1002.7,inf
R000254,B072,1002.7,3600.0
R000254,B073,1002.7,3600.0
R000255,B072,1062.7,3600.0
R000255,B073,1062.7,3600.0
R000255,B074,1062.7,inf
R000256,B077,1121.9,inf
R000257,B076,1121.9,3600.0
R000258,B076,1181.9,3600.0
R000258,B077,1181.9,inf
R000259,B075,1121.9,3600.0
R000260,B075,1181.9,3600.0
R000260,B077,1181.9,inf
R000261,B075,1181.9,3600.0
R000261,B076,1181.9,3600.0
R000262,B075,1241.9,3600.0
R000262,B076,1241.9,3600.0
R000262,B077,1241.9,inf
R000263,B080,1098.2,inf
R000264,B079,1098.2,10800.0
R000265,B079,1158.2,10800.0
R000265,B080,1158.2,inf
R000266,B078,1098.2,7200.0
R000267,B078,1158.2,7200.0
R000267,B080,1158.2,inf
R000268,B078,1158.2,7200.0
R000268,B079,1158.2,10800.0
R000269,B078,1218.2,7200.0
R000269,B079,1218.2,10800.0
R000269,B080,1218.2,inf
R000270,B014,852.9,inf
R000271,B014,918.9,inf
R000271,B015,918.9,inf
R000272,B011,852.9,inf
R000273,B011,918.9,inf
R000273,B014,918.9,inf
R000274,B011,984.9,inf
R000274,B014,984.9,inf
R000274,B015,984.9,inf
R000275,B011,918.9,inf
R000275,B012,918.9,inf
R000276,B011,984.9,inf
R000276,B012,984.9,inf
R000276,B014,984.9,inf
R000277,B011,1050.9,inf
R000277,B012,1050.9,inf
R000277,B014,1050.9,inf
R000277,B015,1050.9,inf
R000278,B011,984.9,inf
R000278,B012,984.9,inf
R000278,B013,984.9,inf
R000279,B011,1050.9,inf
R000279,B012,1050.9,inf
R000279,B013,1050.9,inf
R000279,B014,1050.9,inf
R000280,B011,1116.9,inf
R000280,B012,1116.9,inf
R000280,B013,1116.9,inf
R000280,B014,1116.9,inf
R000280,B015,1116.9,inf
R000281,B003,852.9,3600.0
R000282,B003,918.9,3600.0
R000282,B014,918.9,inf
R000283,B003,984.9,3600.0
R000283,B014,984.9,inf
R000283,B015,984.9,inf
R000284,B003,918.9,3600.0
R000284,B011,918.9,inf
R000285,B003,984.9,3600.0
R000285,B011,984.9,inf
R000285,B014,984.9,inf
R000286,B003,1050.9,3600.0
R000286,B011,1050.9,inf
R000286,B014,1050.9,inf
R000286,B015,1050.9,inf
R000287,B003,984.9,3600.0
R000287,B011,984.9,inf
R000287,B012,984.9,inf
R000288,B003,1050.9,3600.0
R000288,B011,1050.9,inf
R000288,B012,1050.9,inf
R000288,B014,1050.9,inf
R000289,B003,1116.9,3600.0
R000289,B011,1116.9,inf
R000289,B012,1116.9,inf
R000289,B014,1116.9,inf
R000289,B015,1116.9,inf
R000290,B003,1050.9,3600.0
R000290,B011,1050.9,inf
R000290,B012,1050.9,inf
R000290,B013,1050.9,inf
R000291,B003,1116.9,3600.0
R000291,B011,1116.9,inf
R000291,B012,1116.9,inf
R000291,B013,1116.9,inf
R000291,B014,1116.9,inf
R000292,B003,1182.9,3600.0
R000292,B011,1182.9,inf
R000292,B012,1182.9,inf
R000292,B013,1182.9,inf
R000292,B014,1182.9,inf
R000292,B015,1182.9,inf
R000293,B003,918.9,3600.0
R000293,B004,918.9,inf
R000294,B003,984.9,3600.0
R000294,B004,984.9,inf
R000294,B014,984.9,inf
R000295,B003,1050.9,3600.0
R000295,B004,1050.9,inf
R000295,B014,1050.9,inf
R000295,B015,1050.9,inf
R000296,B003,984.9,3600.0
R000296,B004,984.9,inf
R000296,B011,984.9,inf
R000297,B003,1050.9,3600.0
R000297,B004,1050.9,inf
R000297,B011,1050.9,inf
R000297,B014,1050.9,inf
R000298,B003,1116.9,3600.0
R000298,B004,1116.9,inf
R000298,B011,1116.9,inf
R000298,B014,1116.9,inf
R000298,B015,1116.9,inf
R000299,B003,1050.9,3600.0
R000299,B004,1050.9,inf
R000299,B011,1050.9,inf
R000299,B012,1050.9,inf
R000300,B003,1116.9,3600.0
R000300,B004,1116.9,inf
R000300,B011,1116.9,inf
R000300,B012,1116.9,inf
R000300,B014,1116.9,inf
R000301,B003,1182.9,3600.0
R000301,B004,1182.9,inf
R000301,B011,1182.9,inf
R000301,B012,1182.9,inf
R000301,B014,1182.9,inf
R000301,B015,1182.9,inf
R000302,B003,1116.9,3600.0
R000302,B004,1116.9,inf
R000302,B011,1116.9,inf
R000302,B012,1116.9,inf
R000302,B013,1116.9,inf
R000303,B003,1182.9,3600.0
R000303,B004,1182.9,inf
R000303,B011,1182.9,inf
R000303,B012,1182.9,inf
R000303,B013,1182.9,inf
R000303,B014,1182.9,inf
R000304,B003,1248.9,3600.0
R000304,B004,1248.9,inf
R000304,B011,1248.9,inf
R000304,B012,1248.9,inf
R000304,B013,1248.9,inf
R000304,B014,1248.9,inf
R000304,B015,1248.9,inf
R000305,B003,984.9,3600.0
R000305,B004,984.9,inf
R000305,B005,984.9,inf
R000306,B003,1050.9,3600.0
R000306,B004,1050.9,inf
R000306,B005,1050.9,inf
R000306,B014,1050.9,inf
R000307,B003,1116.9,3600.0
R000307,B004,1116.9,inf
R000307,B005,1116.9,inf
R000307,B014,1116.9,inf
R000307,B015,1116.9,inf
R000308,B003,1050.9,3600.0
R000308,B004,1050.9,inf
R000308,B005,1050.9,inf
R000308,B011,1050.9,inf
R000309,B003,1116.9,3600.0
R000309,B004,1116.9,inf
R000309,B005,1116.9,inf
R000309,B011,1116.9,inf
R000309,B014,1116.9,inf
R000310,B003,1182.9,3600.0
R000310,B004,1182.9,inf
R000310,B005,1182.9,inf
R000310,B011,1182.9,inf
R000310,B014,1182.9,inf
R000310,B015,1182.9,inf
R000311,B003,1116.9,3600.0
R000311,B004,1116.9,inf
R000311,B005,1116.9,inf
R000311,B011,1116.9,inf
R000311,B012,1116.9,inf
R000312,B003,1182.9,3600.0
R000312,B004,1182.9,inf
R000312,B005,1182.9,inf
R000312,B011,1182.9,inf
R000312,B012,1182.9,inf
R000312,B014,1182.9,inf
R000313,B003,1248.9,3600.0
R000313,B004,1248.9,inf
R000313,B005,1248.9,inf
R000313,B011,1248.9,inf
R000313,B012,1248.9,inf
R000313,B014,1248.9,inf
R000313,B015,1248.9,inf
R000314,B003,1182.9,3600.0
R000314,B004,1182.9,inf
R000314,B005,1182.9,inf
R000314,B011,1182.9,inf
R000314,B012,1182.9,inf
R000314,B013,1182.9,inf
R000315,B003,1248.9,3600.0
R000315,B004,1248.9,inf
R000315,B005,1248.9,inf
R000315,B011,1248.9,inf
R000315,B012,1248.9,inf
R000315,B013,1248.9,inf
R000315,B014,1248.9,inf
R000316,B003,1314.9,3600.0
R000316,B004,1314.9,inf
R000316,B005,1314.9,inf
R000316,B011,1314.9,inf
R000316,B012,1314.9,inf
R000316,B013,1314.9,inf
R000316,B014,1314.9,inf
R000316,B015,1314.9,inf
R000317,B003,1050.9,3600.0
R000317,B004,1050.9,inf
R000317,B005,1050.9,inf
R000317,B006,1050.9,inf
R000318,B003,1116.9,3600.0
R000318,B004,1116.9,inf
R000318,B005,1116.9,inf
R000318,B006,1116.9,inf
R000318,B014,1116.9,inf
R000319,B003,1182.9,3600.0
R000319,B004,1182.9,inf
R000319,B005,1182.9,inf
R000319,B006,1182.9,inf
R000319,B014,1182.9,inf
R000319,B015,1182.9,inf
R000320,B003,1116.9,3600.0
R000320,B004,1116.9,inf
R000320,B005,1116.9,inf
R000320,B006,1116.9,inf
R000320,B011,1116.9,inf
R000321,B003,1182.9,3600.0
R000321,B004,1182.9,inf
R000321,B005,1182.9,inf
R000321,B006,1182.9,inf
R000321,B011,1182.9,inf
R000321,B014,1182.9,inf
R000322,B003,1248.9,3600.0
R000322,B004,1248.9,inf
R000322,B005,1248.9,inf
R000322,B006,1248.9,inf
R000322,B011,1248.9,inf
R000322,B014,1248.9,inf
R000322,B015,1248.9,inf
R000323,B003,1182.9,3600.0
R000323,B004,1182.9,inf
R000323,B005,1182.9,inf
R000323,B006,1182.9,inf
R000323,B011,1182.9,inf
R000323,B012,1182.9,inf
R000324,B003,1248.9,3600.0
R000324,B004,1248.9,inf
R000324,B005,1248.9,inf
R000324,B006,1248.9,inf
R000324,B011,1248.9,inf
R000324,B012,1248.9,inf
R000324,B014,1248.9,inf
R000325,B003,1248.9,3600.0
R000325,B004,1248.9,inf
R000325,B005,1248.9,inf
R000325,B006,1248.9,inf
R000325,B011,1248.9,inf
R000325,B012,1248.9,inf
R000325,B013,1248.9,inf
R000326,B003,1116.9,3600.0
R000326,B004,1116.9,inf
R000326,B005,1116.9,inf
R000326,B006,1116.9,inf
R000326,B007,1116.9,inf
R000327,B003,1182.9,3600.0
R000327,B004,1182.9,inf
R000327,B005,1182.9,inf
R000327,B006,1182.9,inf
R000327,B007,1182.9,inf
R000327,B014,1182.9,inf
R000328,B003,1182.9,3600.0
R000328,B004,1182.9,inf
R000328,B005,1182.9,inf
R000328,B006,1182.9,inf
R000328,B007,1182.9,inf
R000328,B011,1182.9,inf
R000329,B001,852.9,3600.0
R000330,B001,918.9,3600.0
R000330,B014,918.9,inf
R000331,B001,984.9,3600.0
R000331,B014,984.9,inf
R000331,B015,984.9,inf
R000332,B001,918.9,3600.0
R000332,B011,918.9,inf
R000333,B001,984.9,3600.0
R000333,B011,984.9,inf
R000333,B014,984.9,inf
R000334,B001,1050.9,3600.0
R000334,B011,1050.9,inf
R000334,B014,1050.9,inf
R000334,B015,1050.9,inf
R000335,B001,984.9,3600.0
R000335,B011,984.9,inf
R000335,B012,984.9,inf
R000336,B001,1050.9,3600.0
R000336,B011,1050.9,inf
R000336,B012,1050.9,inf
R000336,B014,1050.9,inf
R000337,B001,1116.9,3600.0
R000337,B011,1116.9,inf
R000337,B012,1116.9,inf
R000337,B014,1116.9,inf
R000337,B015,1116.9,inf
R000338,B001,1050.9,3600.0
R000338,B011,1050.9,inf
R000338,B012,1050.9,inf
R000338,B013,1050.9,inf
R000339,B001,1116.9,3600.0
R000339,B011,1116.9,inf
R000339,B012,1116.9,inf
R000339,B013,1116.9,inf
R000339,B014,1116.9,inf
R000340,B001,1182.9,3600.0
R000340,B011,1182.9,inf
R000340,B012,1182.9,inf
R000340,B013,1182.9,inf
R000340,B014,1182.9,inf
R000340,B015,1182.9,inf
R000341,B001,918.9,3600.0
R000341,B003,918.9,3600.0
R000342,B001,984.9,3600.0
R000342,B003,984.9,3600.0
R000342,B014,984.9,inf
R000343,B001,1050.9,3600.0
R000343,B003,1050.9,3600.0
R000343,B014,1050.9,inf
R000343,B015,1050.9,inf
R000344,B001,984.9,3600.0
R000344,B003,984.9,3600.0
R000344,B011,984.9,inf
R000345,B001,1050.9,3600.0
R000345,B003,1050.9,3600.0
R000345,B011,1050.9,inf
R000345,B014,1050.9,inf
R000346,B001,1116.9,3600.0
R000346,B003,1116.9,3600.0
R000346,B011,1116.9,inf
R000346,B014,1116.9,inf
R000346,B015,1116.9,inf
R000347,B001,1050.9,3600.0
R000347,B003,1050.9,3600.0
R000347,B011,1050.9,inf
R000347,B012,1050.9,inf
R000348,B001,1116.9,3600.0
R000348,B003,1116.9,3600.0
R000348,B011,1116.9,inf
R000348,B012,1116.9,inf
R000348,B014,1116.9,inf
R000349,B001,1182.9,3600.0
R000349,B003,1182.9,3600.0
R000349,B011,1182.9,inf
R000349,B012,1182.9,inf
R000349,B014,1182.9,inf
R000349,B015,1182.9,inf
R000350,B001,1116.9,3600.0
R000350,B003,1116.9,3600.0
R000350,B011,1116.9,inf
R000350,B012,1116.9,inf
R000350,B013,1116.9,inf
R000351,B001,1182.9,3600.0
R000351,B003,1182.9,3600.0
R000351,B011,1182.9,inf
R000351,B012,1182.9,inf
R000351,B013,1182.9,inf
R000351,B014,1182.9,inf
R000352,B001,1248.9,3600.0
R000352,B003,1248.9,3600.0
R000352,B011,1248.9,inf
R000352,B012,1248.9,inf
R000352,B013,1248.9,inf
R000352,B014,1248.9,inf
R000352,B015,1248.9,inf
R000353,B001,984.9,3600.0
R000353,B003,984.9,3600.0
R000353,B004,984.9,inf
R000354,B001,1050.9,3600.0
R000354,B003,1050.9,3600.0
R000354,B004,1050.9,inf
R000354,B014,1050.9,inf
R000355,B001,1116.9,3600.0
R000355,B003,1116.9,3600.0
R000355,B004,1116.9,inf
R000355,B014,1116.9,inf
R000355,B015,1116.9,inf
R000356,B001,1050.9,3600.0
R000356,B003,1050.9,3600.0
R000356,B004,1050.9,inf
R000356,B011,1050.9,inf
R000357,B001,1116.9,3600.0
R000357,B003,1116.9,3600.0
R000357,B004,1116.9,inf
R000357,B011,1116.9,inf
R000357,B014,1116.9,inf
R000358,B001,1182.9,3600.0
R000358,B003,1182.9,3600.0
R000358,B004,1182.9,inf
R000358,B011,1182.9,inf
R000358,B014,1182.9,inf
R000358,B015,1182.9,inf
R000359,B001,1116.9,3600.0
R000359,B003,1116.9,3600.0
R000359,B004,1116.9,inf
R000359,B011,1116.9,inf
R000359,B012,1116.9,inf
R000360,B001,1182.9,3600.0
R000360,B003,1182.9,3600.0
R000360,B004,1182.9,inf
R000360,B011,1182.9,inf
R000360,B012,1182.9,inf
R000360,B014,1182.9,inf
R000361,B001,1248.9,3600.0
R000361,B003,1248.9,3600.0
R000361,B004,1248.9,inf
R000361,B011,1248.9,inf
R000361,B012,1248.9,inf
R000361,B014,1248.9,inf
R000361,B015,1248.9,inf
R000362,B001,1182.9,3600.0
R000362,B003,1182.9,3600.0
R000362,B004,1182.9,inf
R000362,B011,1182.9,inf
R000362,B012,1182.9,inf
R000362,B013,1182.9,inf
R000363,B001,1248.9,3600.0
R000363,B003,1248.9,3600.0
R000363,B004,1248.9,inf
R000363,B011,1248.9,inf
R000363,B012,1248.9,inf
R000363,B013,1248.9,inf
R000363,B014,1248.9,inf
R000364,B001,1314.9,3600.0
R000364,B003,1314.9,3600.0
R000364,B004,1314.9,inf
R000364,B011,1314.9,inf
R000364,B012,1314.9,inf
R000364,B013,1314.9,inf
R000364,B014,1314.9,inf
R000364,B015,1314.9,inf
R000365,B001,1050.9,3600.0
R000365,B003,1050.9,3600.0
R000365,B004,1050.9,inf
R000365,B005,1050.9,inf
R000366,B001,1116.9,3600.0
R000366,B003,1116.9,3600.0
R000366,B004,1116.9,inf
R000366,B005,1116.9,inf
R000366,B014,1116.9,inf
R000367,B001,1182.9,3600.0
R000367,B003,1182.9,3600.0
R000367,B004,1182.9,inf
R000367,B005,1182.9,inf
R000367,B014,1182.9,inf
